sentences,class
73,ไปฟิตเนสได้มั้ย,การออกกำลังกาย
74,ควรออกกำลังกายยังไง,การออกกำลังกาย
75,ดูแลตัวเองยังไง,ดูแลสุขภาพ
76,ขอวิธีดูแลสุขภาพ,ดูแลสุขภาพ
77,วิธีการดูแลสุขภาพ,ดูแลสุขภาพ
78,วิธีการดูแลผู้ป่วย,ดูแลสุขภาพ
79,วิธีการดูแลตนเอง,ดูแลสุขภาพ
80,ข้อควรปฏิบัติของผู้ป่วยมะเร็งเต้านม,ดูแลสุขภาพ
81,ดูแลสุขภาพยังไง,ดูแลสุขภาพ
82,อยากขอวิธีดูแลผู้ป่วย,ดูแลสุขภาพ
83,ดูแลผู้ป่วย,ดูแลสุขภาพ
84,ดูแลผู้ป่วยยังไง,ดูแลสุขภาพ
85,ดูผลคนไข้ยังไง,ดูแลสุขภาพ
86,ดูแลสุุขภาพผู้ป่วยยังไง,ดูแลสุขภาพ
87,วิธีดูแลสุขภาพผู้ป่วย,ดูแลสุขภาพ
88,วิธีดูแลสุขภาพคนไข้,ดูแลสุขภาพ
89,ดูเเลสุขภาพ,ดูแลสุขภาพ
90,ต้องดูแลตัวเองยังไง,ดูแลสุขภาพ
91,ต้องดูแลคนไข้ยังไง,ดูแลสุขภาพ
92,ต้องดูแลผู้ป่วยยังไง,ดูแลสุขภาพ
93,จะต้องดูแลสุขภาพยังไง,ดูแลสุขภาพ
94,จะต้องดููแลผู้ป่วยยังไง,ดูแลสุขภาพ
95,ผู้ป่วยควรปฏิบัติตัวอย่างไร,ดูแลสุขภาพ
96,จะต้องดูแลคนไข้ยังไง,ดูแลสุขภาพ
97,สวัสดีครับ,ทักทาย
98,สวัสดีค่ะ,ทักทาย
99,สวัสดีคะ,ทักทาย
100,สวัสดีคับ,ทักทาย
101,สวัสดี,ทักทาย
102,หวัดดี,ทักทาย
103,hi,ทักทาย
104,hello,ทักทาย
105,ว่าไง,ทักทาย
106,ดีครับ,ทักทาย
107,ดีคับ,ทักทาย
108,ดีครับ,ทักทาย
109,ดีคะ,ทักทาย
110,สอบถามหน่อยค่ะ,ทักทาย
111,HI,ทักทาย
112,ขออนุญาตสอบถามค่ะ,ทักทาย
113,Hi,ทักทาย
114,ดีค่ะ,ทักทาย
115,สิทธิการรักษามะเร็งของคนไทย,สิทธิการรักษา
116,ใช้สิทธิการรักษาได้ไหม,สิทธิการรักษา
117,30 บาทได้ไหม,สิทธิการรักษา
118,ใช้สวัสดิการรักษาได้หรือเปล่า,สิทธิการรักษา
119,30บาทรักษาทุกโรค,สิทธิการรักษา
120,สามารถใช้สิทธิการรักษาอะไรได้บ้าง,สิทธิการรักษา
121,เป็นข้าราชการรักษาได้ไหม,สิทธิการรักษา
122,ใช้สวัสดิการข้าราชการได้ไหม,สิทธิการรักษา
123,ข้าราชการต้องเสียเงินไหม,สิทธิการรักษา
124,มีสิทธิการรักษาไหม,สิทธิการรักษา
125,ใช้สิทธิการรักษาอะไรได้บ้าง,สิทธิการรักษา
126,ทำประกันไว้ได้หรือเปล่า,สิทธิการรักษา
127,ใช้ประกันได้ไหม,สิทธิการรักษา
128,บัตรทองใช้ได้ไหม,สิทธิการรักษา
129,ใช้บัตรทองได้หรือเปล่า,สิทธิการรักษา
130,จ่ายด้วยบัตรทองได้ไหม,สิทธิการรักษา
131,ใช้สวัสดิการ 30 บาทได้ไหม,สิทธิการรักษา
132,สิทธิการรักษา,สิทธิการรักษา
133,ใช้สิทธิอะไรได้บ้าง,สิทธิการรักษา
134,สิทธิการรักษามีอะไรบ้าง,สิทธิการรักษา
135,ข้าราชการใช้สิทธิได้ไหม,สิทธิการรักษา
136,สามารถใช้บัตรทองได้หรือเปล่า,สิทธิการรักษา
137,สามารถใช้บัตรทองได้ไหม,สิทธิการรักษา
138,สิทธิการรักษามีอะไรบ้าง,สิทธิการรักษา
139,สิทธิการรักษา,สิทธิการรักษา
140,อยู่ในขอบเขตที่ประกันรับผิดชอบไหม,สิทธิการรักษา
141,ประกันจะจ่ายให้หรือเปล่า,สิทธิการรักษา
142,ประกันจะจ่ายให้ไหม,สิทธิการรักษา
143,มีส่วนที่ไม่สามารถเบิกได้ไหม,สิทธิการรักษา
144,ถ้าเบิกเบิกได้ทั้งหมดไหม,สิทธิการรักษา
145,ต้องงดน้ำอาหารตอนไหน,ต้องงดน้ำอาหารตอนไหน
146,จะต้องงดน้ำไหม,ต้องงดน้ำอาหารตอนไหน
147,จะต้องงดน้ำก่อนผ่าไหม,ต้องงดน้ำอาหารตอนไหน
148,จะต้องงดอาหารก่อนผ่าตัดไหม,ต้องงดน้ำอาหารตอนไหน
149,ต้องงดน้ำไหมก่อนผ่าตัด,ต้องงดน้ำอาหารตอนไหน
150,ต้องงดอาหารไหม,ต้องงดน้ำอาหารตอนไหน
151,ต้องไม่กินน้ำอาหารหรือเปล่า,ต้องงดน้ำอาหารตอนไหน
152,กินน้ำได้ไหม,ต้องงดน้ำอาหารตอนไหน
153,กินข้าวได้ไหม,ต้องงดน้ำอาหารตอนไหน
154,กินน้ำกินข้าวได้ถึงกี่โมง,ต้องงดน้ำอาหารตอนไหน
155,ต้องงดน้ำหรืออาหารไหม,ต้องงดน้ำอาหารตอนไหน
156,นอนไม่หลับทำยังไงดี,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
157,นอนไม่หลับกินยานอนหลับได้ไหม,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
158,ถ้ากินยานอนหลับมีผลไหม,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
159,กลัวจะนอนไม่พอกินยานอนหลับได้ไหม,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
160,ตื่นกลางคืนแล้วนอนต่อไม่ได้,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
161,สะดุ้งตื่นตอนกลางคืนแล้วนอนไม่หลับ,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
162,หลับๆตื่นๆนอนไม่หลับ,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
163,แปลกที่นอนไม่หลับ,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
164,นอนไม่หลับ,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
165,นอนหลับไม่สนิท,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
166,ง่วงแต่นอนไม่หลับ,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
167,กินยานอนหลับได้ไหม,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
168,ควรทานยานอนหลับไหม,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
169,กินยานอนหลับก่อนนอนได้ไหม,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
170,กินยานอนหลับคืนก่อนผ่าตัดได้ไหม,ถ้านอนไม่หลับกินยานอนหลับได้ไหม
171,ผ่าตัดต้องดมยาสลบไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
172,ผ่าตัดต้องดมยาสลบใช่ไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
173,ผ่าตัดมีการดมยาสลบไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
174,ต้องดมยาสลบไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
175,การผ่าตัดจะได้ดมยาสลบไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
176,ผ่าตัดมีคราวนี้มีดมยาสลบหรือเปล่า,ผ่าตัดแบบดมยาสลบใช่ไหม
177,ผ่าตัดครั้งนี้มีการดมยาสลบใช่ไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
178,ผ่าตัดเเบบดมยาสลบ,ผ่าตัดแบบดมยาสลบใช่ไหม
179,มีการดมยาสลบให้ใช่ไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
180,จะต้องดมยาสลบไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
181,ผ่าตัดแบบไหน มีการดมยาสลบไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
182,มีการดมยาสลบก่อนการผ่าตัดไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
183,มีการดมยาสลบก่อนการผ่าตัดรึป่าว,ผ่าตัดแบบดมยาสลบใช่ไหม
184,จะได้ดมยาก่อนผ่าไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
185,จะได้ดมยาสลบก่อนผ่าไหม,ผ่าตัดแบบดมยาสลบใช่ไหม
186,ต้องเตรียมตัวอะไรยังไงบ้าง,ก่อนไปต้องทำอะไรบ้าง
187,เตรียมตัวยังไงดี,ก่อนไปต้องทำอะไรบ้าง
188,ก่อนไปต้องเตรียมตัวยังไง,ก่อนไปต้องทำอะไรบ้าง
189,ต้องเตรียมตัวยังไงบ้าง,ก่อนไปต้องทำอะไรบ้าง
190,วิธีการเตรียมตัวก่อนผ่าตัด,ก่อนไปต้องทำอะไรบ้าง
191,การเตรียมตัวก่อนผ่าตัด,ก่อนไปต้องทำอะไรบ้าง
192,เตรียมผ่าตัด,ก่อนไปต้องทำอะไรบ้าง
193,เตรียมตัวไงก่อนผ่า,ก่อนไปต้องทำอะไรบ้าง
194,การเตรียมตัวก่อนผ่า,ก่อนไปต้องทำอะไรบ้าง
195,เตรียมตัวอย่างไรดี,ก่อนไปต้องทำอะไรบ้าง
196,เตรียมตัวอะไรบ้าง,ก่อนไปต้องทำอะไรบ้าง
197,การเตรียมตัวก่อนเข้ารับการผ่าตัด,ก่อนไปต้องทำอะไรบ้าง
198,การเตรียมความพร้อมก่อนผ่าตัด,ก่อนไปต้องทำอะไรบ้าง
199,การเตรียมร่างกายก่อนผ่า,ก่อนไปต้องทำอะไรบ้าง
200,ข้อควรระวังก่อนผ่า,ก่อนไปต้องทำอะไรบ้าง
201,ข้อควรปฏิบัติก่อนผ่า,ก่อนไปต้องทำอะไรบ้าง
202,ต้องทำอะไรก่อนผ่าบ้าง,ก่อนไปต้องทำอะไรบ้าง
203,วิธีการเตรียมตัวก่อนผ่าตัด,ก่อนไปต้องทำอะไรบ้าง
204,ฉี่เป็นสีฟ้า,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
205,ฉี่เป็นสีเขียว,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
206,ฉี่เป็นสีเขียวๆฟ้าๆ,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
207,ฉี่เป็นสีเขียวอมฟ้า,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
208,ฉี่เป็นสีฟ้าอมเขียว,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
209,ฉี่เป็นสีน้ำทะเล,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
210,ปัสสาวะเป็นสีฟ้า,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
211,ปัสสาวะเป็นสีเขียว,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
212,ปัสสาวะเป็นสีเขียวๆฟ้าๆ,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
213,ปัสสาวะเป็นสีเขียวอมฟ้า,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
214,ปัสสาวะเป็นสีฟ้าอมเขียว,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
215,ปัสสาวะเป็นสีน้ำทะเล,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
216,สีปัสสาวะผิดปกติ,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
217,หลังผ่าปัสสาวะมีสีแปลกๆ,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
218,ทำไมปัสสาวะมีสีเขียว,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
219,ทำไมปัสสาวะมีสีฟ้า,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
220,ทำไมฉี่มีสีแปลกๆ,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
221,ทำไมฉี่เป็นสีฟ้า,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
222,ทำไมฉี่เป็นสีเขียว,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
223,ทำไมฉี่ออกมากลายเป็นสีเขียว,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
224,ทำไมหลังผ่าถึงปัสสาวะสีแปลกๆ,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
225,ทำไมฉี่ออกมากลายเป็นสีฟ้า,หลังผ่าตัดทำไมปัสสาวะเป็นสีฟ้า หรือสีเขียวๆ
226,จะได้กลับบ้านวันไหน,จะได้กลับบ้านวันไหน
227,จะได้กลับบ้านเมื่อไหร่,จะได้กลับบ้านวันไหน
228,จะได้กลับบ้านตอนไหน,จะได้กลับบ้านวันไหน
229,กลับบ้านได้เลยไหม,จะได้กลับบ้านวันไหน
230,กลับบ้านเลยรึป่าว,จะได้กลับบ้านวันไหน
231,กลับบ้านวันไหน,จะได้กลับบ้านวันไหน
232,ต้องพักพื้นนานไหม,จะได้กลับบ้านวันไหน
233,ต้องนอนโรงพยาบาลนานเท่าไหร่,จะได้กลับบ้านวันไหน
234,ต้องนอนโรงพยาบาลนานไหม,จะได้กลับบ้านวันไหน
235,ต้องพักฟื้นไหม,จะได้กลับบ้านวันไหน
236,ต้องอยู่โรงพยาบาลถึงเมื่อไหร่,จะได้กลับบ้านวันไหน
237,ออกจากโรงพยาบาลได้เลยไหม,จะได้กลับบ้านวันไหน
238,ออกจากที่นี่ได้เลยไหม,จะได้กลับบ้านวันไหน
239,ผ่าตัดเสร็จจะได้กลับวันไหน,จะได้กลับบ้านวันไหน
240,หลังผ่าสามารถกลับบ้านได้เลยไหม,จะได้กลับบ้านวันไหน
241,หลังผ่าเสร็จกลับบ้านเลยได้ไหม,จะได้กลับบ้านวันไหน
242,ผ่าเสร็จกลับได้เมื่อไหร่,จะได้กลับบ้านวันไหน
243,กลับบ้านได้เมื่อไหร่,จะได้กลับบ้านวันไหน
244,สายระบายจะเอาออกได้เมื่อไหร่,สายระบายจะเอาออกได้เมื่อไหร่
245,สายระบายถอดได้ตอนไหน,สายระบายจะเอาออกได้เมื่อไหร่
246,จะเอาสายระบายออกได้ตอนไหน,สายระบายจะเอาออกได้เมื่อไหร่
247,สายระบายถอดออกได้ไหม,สายระบายจะเอาออกได้เมื่อไหร่
248,ถอดสายละบายออกเลยไดหรือเปล่า,สายระบายจะเอาออกได้เมื่อไหร่
249,ถอยสายระบายออกได้เลยไหม,สายระบายจะเอาออกได้เมื่อไหร่
250,ถอดสายระบายออกได้ตอนไหน,สายระบายจะเอาออกได้เมื่อไหร่
251,เอาสายระบายออกตอนไหน,สายระบายจะเอาออกได้เมื่อไหร่
252,เมื่อไรถึงเอาสายระบายออก,สายระบายจะเอาออกได้เมื่อไหร่
253,ตอนไหนถึงเอาสายระบายออกได้,สายระบายจะเอาออกได้เมื่อไหร่
254,เจ็บหน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
255,ทำไมเจ็บหน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
256,เจ็บแปปๆที่หน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
257,เจ็บแปล๊บๆที่หน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
258,เจ็บแปลบๆที่หน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
259,เจ็บแป๊บๆที่หน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
260,เจ็บแป๊บที่หน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
261,เจ็บแปลกๆที่หน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
262,เจ็บหน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
263,รู้สึกเจ็บหน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
264,รู้สึกเจ็บที่หน้าอกแปลกๆ,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
265,เจ็บหน้าอกมาก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
266,ทำไมถึงเจ็บหน้าอก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
267,เจ็บหน้าอกเกิดจากอะไร,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
268,เจ็บหน้าอกอันตรายไหม,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
269,เจ็บหน้าอกมาก,ทำไมรู้สึกเจ็บแปล๊บๆ ที่หน้าอก
270,จะต้องออกกำลังกายบริหารแขนอีกไหม,จะต้องออกกำลังกายบริหารแขนอีกไหม
271,ต้องอกกำลังกายแขนอีกไหม,จะต้องออกกำลังกายบริหารแขนอีกไหม
272,ต้องออกกำลังกายแขนอีกไหม,จะต้องออกกำลังกายบริหารแขนอีกไหม
273,ต้องบริหารแขนอีกไหม,จะต้องออกกำลังกายบริหารแขนอีกไหม
274,ต้องออกกำลังกายบริหารแขนต่อไหม,จะต้องออกกำลังกายบริหารแขนอีกไหม
275,ต้องออกกำลังแขนต่อรึป่าว,จะต้องออกกำลังกายบริหารแขนอีกไหม
276,ต้องบริหารแขนต่อรึป่าว,จะต้องออกกำลังกายบริหารแขนอีกไหม
277,ยังต้องบริหารแขนอยู่รึป่าว,จะต้องออกกำลังกายบริหารแขนอีกไหม
278,ยังต้องบริหารแขนอยู่ไหม,จะต้องออกกำลังกายบริหารแขนอีกไหม
279,ต้องบริหารแขนอยู่หรือเปล่า,จะต้องออกกำลังกายบริหารแขนอีกไหม
280,ต้องระวังอะไรบ้างหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
281,มีอะไรที่ต้องระวังหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
282,ข้อควรระวังหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
283,ต้องระวังอะไรบ้างหลังผ่า,ต้องระวังอะไรบ้างหลังผ่าตัด
284,หลังผ่ามีอะไรที่ต้องระวังบ้าง,ต้องระวังอะไรบ้างหลังผ่าตัด
285,สิ่งที่ต้องระมัดระวังหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
286,ข้อควรระมัดระวังหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
287,สิ่งต้องห้ามหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
288,สิ่งที่ไม่ควรทำหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
289,หลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
290,ข้อควรระวังหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
291,ข้อควรระวังหลังผ่าตััด,ต้องระวังอะไรบ้างหลังผ่าตัด
292,ข้อห้ามหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
293,ไม่ควรทำอะไรหลังผ่าตัด,ต้องระวังอะไรบ้างหลังผ่าตัด
294,ห้ามทำอะไรหลังผ่าตัดบ้าง,ต้องระวังอะไรบ้างหลังผ่าตัด
295,หลังผ่าตัดทำอะไรไม่ได้บ้าง,ต้องระวังอะไรบ้างหลังผ่าตัด
296,มีอาหารอะไรที่ต้องงดหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
297,อาหารที่ห้ามกินหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
298,หลังผ่าตัดห้ามกินอะไร,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
299,หลังผ่าตัดกินอะไรไม่ได้บ้าง,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
300,ของห้ามกินหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
301,สิ่งที่ไม่่ควรกินฟลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
302,อาหารที่ไม่ควรกินหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
303,ของที่ไม่ควรกินหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
304,อาหารที่งด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
305,อาหารที่ไม่ควรกินหลังผ่า,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
306,อาหารต้องห้ามหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
307,อาหารที่ไม่ควรรับประทานหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
308,อาหารที่ไม่ควรกินหลัังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
309,อาหารอะไรที่กินไม่ได้หลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
310,อาหารไหนกินไม่ได้,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
311,หลังผ่าตัดกินอาหารอะไม่ได้บ้าง,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
312,อาหารที่ต้องงดหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
313,งดอาหารหลังผ่าตัด,มีอาหารอะไรที่ต้องงดหลังผ่าตัด
314,กลับบ้านต้องล้างแผลไหม,กลับบ้านต้องล้างแผลไหม
315,กลับบ้านแล้วล้างแผลไหม,กลับบ้านต้องล้างแผลไหม
316,ล้างแผลได้ไหม,กลับบ้านต้องล้างแผลไหม
317,ต้องล้างแผลไหม,กลับบ้านต้องล้างแผลไหม
318,ต้องล้างแผลด้วยรึป่าว,กลับบ้านต้องล้างแผลไหม
319,ยังต้องล้างแผลอยู่ไหม,กลับบ้านต้องล้างแผลไหม
320,กลับบ้านมาแล้วต้องไปล้างแผลไหม,กลับบ้านต้องล้างแผลไหม
321,จำเป็นต้องล้างเเผลไหมหลังกลับบ้าน,กลับบ้านต้องล้างแผลไหม
322,ล้างแผลได้ไหม,กลับบ้านต้องล้างแผลไหม
323,ต้องล้างแผลรึป่าว,กลับบ้านต้องล้างแผลไหม
324,แผลโดนน้ำได้ไหม,แผลโดนน้ำได้ไหม
325,เเผลโดนน้ำ้ำได้หรือเปล่า,แผลโดนน้ำได้ไหม
326,เเผลโดนน้ำได้หรือเปล่า,แผลโดนน้ำได้ไหม
327,แผลโดนน้ำได้รึป่าว,แผลโดนน้ำได้ไหม
328,เเผลโดนน้ำเป็นไรไหม,แผลโดนน้ำได้ไหม
329,เเผลดดนน้้ำเป็นไรไหม,แผลโดนน้ำได้ไหม
330,แผลห้ามโดนน้ำรึป่า,แผลโดนน้ำได้ไหม
331,แผลโดนน้ำไม่ได้ใช่ไหม,แผลโดนน้ำได้ไหม
332,แผลโดนน้ำ,แผลโดนน้ำได้ไหม
333,แผลโดนน้ำไปแล้ว,แผลโดนน้ำได้ไหม
334,แผลโดนน้ำทำยังไงดี,แผลโดนน้ำได้ไหม
335,แผลโดนน้ำจะเป็นอะไรไหม,แผลโดนน้ำได้ไหม
336,กลัวแผลโดนน้ำ,แผลโดนน้ำได้ไหม
337,ถ้าแผลโดนน้ำ,แผลโดนน้ำได้ไหม
338,ต้องมาตัดไหมไหม,แผลต้องมาตัดไหมไหม
339,ต้องมาตััดไหมรึป่าว,แผลต้องมาตัดไหมไหม
340,ไหมละลายได้ไหม,แผลต้องมาตัดไหมไหม
341,ต้องกลับมาตัดไหมอีกรึป่าว,แผลต้องมาตัดไหมไหม
342,ไม่ต้องตัดไหมแล้วใช่ไหม,แผลต้องมาตัดไหมไหม
343,ต้องกลับมาตัดไหมอีกใช่ไหม,แผลต้องมาตัดไหมไหม
344,ยังต้องกลับมาตัดไหมอยู่อีกรึป่าว,แผลต้องมาตัดไหมไหม
